Site,Species,EchoGuild,Year,Night,Act,Buzz,Hectares,Perim_meters,DateBuilt,Altitude_ft,ImpSurf_acres2km,SmallRd_km2km,BigRD_km2km,Roads,ForestedStreams_km_2km,UrbanPct2km,BarrenPct2km,SuburbanPct2km,AgriculturePct2km,ForestPct2km,FieldPct2km,ShrubPct2km,WaterPct2km,WetlandPct2km,UrbanLPI_2km,BarrenLPI_2km,SuburbanLPI_2km,AgricultureLPI_2km,ForestLPI_2km,LowDensityForestLPI_2km,FieldLPI_2km,ShrubLPI_2km,WaterLPI_2km,WetlandLPI_2km,TotEdge_m_2km,EdgeDen_mperhect_2km,ContrastWeightedED_2km,TECI_2km,ECON_MN_2km,CLUMPY_2km,InterspersJuxt_2km
ATLA,Epfu,Low,2020,2,167,7,37.37,15532.31,1961,26.41,1665.052432,104.925,21.429,126.354,21.09,13.0815,0.6871,23.0219,0.018,19.13,2.241,2.409,14.4538,24.9578,5.2836,0.386,5.7119,0.018,4.3934,2.148,0.2543,0.5181,10.6028,6.6317,99460,44.6939,31.1073,62.6924,66.5144,0.9075,79.7769
ATLA,Epfu,Low,2020,3,215,18,37.37,15532.31,1961,26.41,1665.052432,104.925,21.429,126.354,21.09,13.0815,0.6871,23.0219,0.018,19.13,2.241,2.409,14.4538,24.9578,5.2836,0.386,5.7119,0.018,4.3934,2.148,0.2543,0.5181,10.6028,6.6317,99460,44.6939,31.1073,62.6924,66.5144,0.9075,79.7769
ATLA,Epfu,Low,2020,1,273,14,37.37,15532.31,1961,26.41,1665.052432,104.925,21.429,126.354,21.09,13.0815,0.6871,23.0219,0.018,19.13,2.241,2.409,14.4538,24.9578,5.2836,0.386,5.7119,0.018,4.3934,2.148,0.2543,0.5181,10.6028,6.6317,99460,44.6939,31.1073,62.6924,66.5144,0.9075,79.7769
ATLA,Epfu,Low,2020,4,318,2,37.37,15532.31,1961,26.41,1665.052432,104.925,21.429,126.354,21.09,13.0815,0.6871,23.0219,0.018,19.13,2.241,2.409,14.4538,24.9578,5.2836,0.386,5.7119,0.018,4.3934,2.148,0.2543,0.5181,10.6028,6.6317,99460,44.6939,31.1073,62.6924,66.5144,0.9075,79.7769
ATLA,Epfu,Low,2020,6,458,5,37.37,15532.31,1961,26.41,1665.052432,104.925,21.429,126.354,21.09,13.0815,0.6871,23.0219,0.018,19.13,2.241,2.409,14.4538,24.9578,5.2836,0.386,5.7119,0.018,4.3934,2.148,0.2543,0.5181,10.6028,6.6317,99460,44.6939,31.1073,62.6924,66.5144,0.9075,79.7769
ATLA,Epfu,Low,2020,5,583,17,37.37,15532.31,1961,26.41,1665.052432,104.925,21.429,126.354,21.09,13.0815,0.6871,23.0219,0.018,19.13,2.241,2.409,14.4538,24.9578,5.2836,0.386,5.7119,0.018,4.3934,2.148,0.2543,0.5181,10.6028,6.6317,99460,44.6939,31.1073,62.6924,66.5144,0.9075,79.7769
ATLA,Epfu,Low,2020,8,743,18,37.37,15532.31,1961,26.41,1665.052432,104.925,21.429,126.354,21.09,13.0815,0.6871,23.0219,0.018,19.13,2.241,2.409,14.4538,24.9578,5.2836,0.386,5.7119,0.018,4.3934,2.148,0.2543,0.5181,10.6028,6.6317,99460,44.6939,31.1073,62.6924,66.5144,0.9075,79.7769
AVAL,Epfu,Low,2019,1,0,0,42.09,8197.81,1971,11.02,665.642983,27.397,33.778,61.175,14.45,8.1434,1.7355,9.2804,1.9023,29.9722,11.4951,1.5488,14.3195,21.6027,5.284,0.6035,2.2436,1.6198,6.5925,0.5427,7.2503,0.2272,11.6184,13.0551,158520,80.394,52.6075,61.9216,62.4852,0.8963,82.2965
AVAL,Epfu,Low,2019,2,0,0,42.09,8197.81,1971,11.02,665.642983,27.397,33.778,61.175,14.45,8.1434,1.7355,9.2804,1.9023,29.9722,11.4951,1.5488,14.3195,21.6027,5.284,0.6035,2.2436,1.6198,6.5925,0.5427,7.2503,0.2272,11.6184,13.0551,158520,80.394,52.6075,61.9216,62.4852,0.8963,82.2965
AVAL,Epfu,Low,2020,1,0,0,42.09,8197.81,1971,11.02,665.642983,27.397,33.778,61.175,14.45,8.1434,1.7355,9.2804,1.9023,29.9722,11.4951,1.5488,14.3195,21.6027,5.284,0.6035,2.2436,1.6198,6.5925,0.5427,7.2503,0.2272,11.6184,13.0551,158520,80.394,52.6075,61.9216,62.4852,0.8963,82.2965
